ssc_code16,ssc_name16,schools
20766,Doncaster East,6
20768,Donvale,5
20763,Don Valley,1
20771,Dookie,1
20772,Dookie College,1
20773,Doreen,4
20777,Doveton,2
20782,Dromana,3
20784,Drouin,4
20786,Drouin South,1
20787,Drouin West,1
20791,Drummartin,1
20792,Drummond,1
20796,Drysdale,5
20803,Dunkeld (Vic.),1
20806,Dunnstown,1
20807,Dunolly (Vic.),1
20817,Eaglehawk,3
20816,Eagle Point,1
20823,East Geelong,1
20830,Eastwood (Vic.),1
20832,Echuca,9
20838,Edenhope,2
20842,Edithvale,1
20841,Edi Upper,1
20844,Eildon,1
20853,Elliminyt,2
20854,Ellinbank,1
20855,Elmhurst,1
20856,Elmore,2
20857,Elphinstone (Vic.),1
20858,Elsternwick,4
20860,Eltham North,4
20859,Eltham (Vic.),5
20861,Elwood,4
20862,Emerald (Vic.),3
20865,Endeavour Hills,9
20872,Epping (Vic.),9
20873,Epsom (Vic.),1
20877,Eskdale (Vic.),1
20879,Essendon,5
20881,Essendon North,1
20882,Essendon West,1
20886,Euroa,3
20890,Everton,1
20892,Exford,1
20895,Fairfield (Vic.),1
20900,Falls Creek (Vic.),1
20903,Fawkner,6
20911,Ferntree Gully,9
20912,Ferny Creek,1
20915,Fish Creek,1
20919,Fitzroy North,5
20918,Fitzroy (Vic.),3
20923,Flemington,3
20925,Flora Hill,1
20926,Flowerdale (Vic.),1
20929,Footscray,7
20931,Forest Hill (Vic.),1
20933,Forrest (Vic.),1
20934,Foster,2
20941,Frankston,15
20942,Frankston North,3
20943,Frankston South,3
20945,French Island,1
20947,Freshwater Creek,1
20959,Garfield (Vic.),1
20966,Geelong,3
20967,Geelong West,2
20972,Gembrook,1
20992,Girgarre,1
20994,Gisborne,3
20997,Gladstone Park,4
20998,Gladysdale,1
21018,Glengarry (Vic.),1
21003,Glen Iris (Vic.),6
21004,Glen Park,1
21038,Glenrowan,1
21040,Glenroy (Vic.),7
21006,Glen Waverley,13
21049,Golden Point (Ballarat - Vic.),1
21051,Golden Square,2
21058,Goongerah,1
21062,Goornong,1
21066,Gordon (Vic.),2
21067,Gormandale,1
21068,Goroke,1
21077,Grahamvale,1
21084,Grassmere,1
21090,Great Western,1
21096,Greensborough,8
21097,Greenvale (Vic.),4
21101,Greta South,1
21106,Grovedale,5
21107,Gruyere,1
21108,Guildford (Vic.),1
21109,Gunbower,1
21115,Haddon,1
21116,Hadfield,1
21117,Hallam,2
21119,Halls Gap,1
21121,Hamilton (Vic.),9
21122,Hamlyn Heights,3
21124,Hampton East,1
21125,Hampton Park,6
21123,Hampton (Vic.),3
21129,Harcourt,1
21131,Harkaway,1
21133,Harrietville,1
21135,Harston,1
21136,Hastings (Vic.),4
21141,Hawkesdale,1
21144,Hawthorn East,4
21143,Hawthorn (Vic.),8
21147,Hazelwood North,1
21149,Healesville,4
21151,Heathcote (Vic.),2
21154,Heatherton,1
21156,Heathmont,4
21158,Heidelberg,4
21160,Heidelberg West,1
21163,Hepburn,1
21165,Herne Hill (Vic.),2
21167,Hesket,1
21170,Heyfield,2
21172,Heywood,2
21176,Highett,1
21177,Highlands,1
21178,Highton,4
21184,Hillside (Melton - Vic.),2
21187,Hoddles Creek,1
21192,Hopetoun (Vic.),2
21194,Hoppers Crossing,10
21197,Horsham,7
21205,Hughesdale,3
21210,Huntly,1
21214,Hurstbridge,1
21221,Indigo Valley,1
21222,Inglewood (Vic.),2
21224,Invergordon (Vic.),1
21225,Inverleigh,1
21226,Inverloch,1
21227,Invermay (Vic.),1
21232,Ironbark (Vic.),1
21236,Irymple (Vic.),5
21238,Ivanhoe East,2
21237,Ivanhoe (Vic.),5
21239,Jacana,1
21244,Jamieson (Vic.),1
21256,Jeparit,1
21260,Jindivick,1
21285,Kangaroo Flat (Vic.),4
21286,Kangaroo Ground,1
21287,Kaniva,1
21298,Katamatite,1
21301,Katandra West,1
21302,Katunga,2
21304,Kealba,1
21306,Keilor,3
21307,Keilor Downs,4
21308,Keilor East,4
21309,Keilor Lodge,1
21318,Kennington,3
21319,Kensington (Vic.),3
21320,Kerang,5
21325,Kerrie,1
21329,Kew East,3
21328,Kew (Vic.),11
21331,Keysborough,6
21332,Kialla,1
21334,Kialla West,1
21344,Kilmore,4
21346,Kilsyth,4
21350,Kinglake,1
21351,Kinglake Central,1
21352,Kinglake West,1
21355,Kingsbury,2
21354,Kings Park (Vic.),3
21366,Knoxfield,2
21370,Kongwak,1
21376,Koondrook,1
21378,Koonwarra,1
21380,Koorlong,1
21372,Koo Wee Rup,3
21388,Koroit,2
21391,Korumburra,3
21403,Kurunjang,2
21404,Kyabram,2
21406,Kyneton,4
21411,Labertouche,1
21417,Laharum,1
21418,Lake Boga,1
21419,Lake Bolac,1
21421,Lake Charm,1
21426,Lake Gardens,2
21440,Lakes Entrance,3
21438,Lake Wendouree,2
21441,Lal Lal,1
21443,Lalor,8
21445,Lancaster,1
21447,Lancefield,2
21448,Landsborough (Vic.),1
21450,Lang Lang,1
21456,Langley,1
21458,Langwarrin,5
21459,Langwarrin South,2
21460,Lara,4
21461,Lardner,1
21464,Launching Place,1
21466,Lavers Hill,1
21467,Laverton (Vic.),4
21477,Leitchville,1
21478,Lemnos,1
21479,Leneva,1
21481,Leongatha,5
21484,Leopold,1
21487,Lethbridge,1
21495,Lilydale (Vic.),8
21500,Lindenow,1
21501,Lindenow South,1
21505,Linton,1
21507,Lismore (Vic.),1
21511,Little River (Vic.),1
21514,Loch,1
21515,Loch Sport,1
21517,Lockington,1
21519,Lockwood,1
21520,Lockwood South,1
21523,Londrigan,1
21526,Longford (Vic.),1
21525,Long Gully,1
21528,Longwarry,1
21530,Longwood (Vic.),1
21532,Lorne (Vic.),1
21534,Lovely Banks,1
21537,Lower Plenty,1
21544,Lynbrook,2
21545,Lyndhurst (Vic.),1
21548,Lysterfield,1
21550,Macarthur (Vic.),1
21551,Macclesfield (Vic.),1
21552,Macedon,1
21554,Macleod (Vic.),2
21559,Maddingley,2
21561,Maffra (Vic.),3
21563,Magpie,1
21564,Maiden Gully,1
21573,Maldon (Vic.),1
21574,Mallacoota,1
21575,Malmsbury,1
21577,Malvern East,6
21576,Malvern (Vic.),3
21579,Manangatang,1
21583,Manifold Heights,1
21588,Mansfield (Vic.),5
21593,Maribyrnong,2
21597,Marlo,1
21598,Marnoo,1
21601,Marong,1
21602,Maroona,1
21607,Maryborough (Vic.),3
21609,Marysville,1
21618,McKinnon,1
21624,Meadow Heights,2
21626,Meeniyan,1
21629,Melbourne,8
21632,Melton South,4
21631,Melton (Vic.),2
21633,Melton West,7
21637,Mentone,8
21638,Menzies Creek,1
21642,Merbein,2
21645,Meredith,1
21647,Merino,1
21648,Mernda,2
21654,Merrigum,1
21656,Merrijig (Mansfield - Vic.),1
21662,Metung,1
21664,Mickleham,2
21666,Middle Park (Vic.),1
21670,Milawa,1
21671,Mildura,11
21674,Millgrove,1
21672,Mill Park,6
21680,Miners Rest,1
21687,Minyip,1
21692,Mirboo North,2
21694,Mitcham (Vic.),5
21699,Mitta Mitta,1
21704,Moe,5
21715,Monbulk,4
21720,Mont Albert,1
21721,Mont Albert North,2
21723,Montmorency,4
21724,Montrose (Vic.),3
21725,Moolap,1
21728,Moonambel,1
21730,Moonee Ponds,3
21734,Moorabbin,5
21742,Moorooduc,1
21743,Mooroolbark,10
21744,Mooroopna,4
21745,Mooroopna North,1
21748,Mordialloc,3
21750,Moriac,1
21751,Mornington (Vic.),7
21755,Mortlake (Vic.),2
21757,Morwell,7
21760,Mount Beauty,2
21771,Mount Clear,4
21775,Mount Dandenong,1
21778,Mount Duneed,1
21780,Mount Egerton,1
21781,Mount Eliza,7
21783,Mount Evelyn,4
21786,Mount Helen,1
21789,Mount Macedon,2
21791,Mount Martha,3
21795,Mount Pleasant (Vic.),1
21804,Mount Waverley,10
21808,Moyhu,1
21810,Moyston,1
21812,Muckleford,1
21815,Mulgrave (Vic.),5
21820,Murchison (Vic.),1
21828,Murrabit,1
21833,Murrayville,1
